Timestamp,Age,Gender,How often do you visit hotpot restaurants?,Which hotpot restaurant did you visit most recently?,Were you a new or returning customer?,Where did you first hear of this restaurant?,What were the main reasons for choosing this restaurant? (Select all that apply) ,Was it easy to find information about the restaurant?,How did you make your reservation?,"How satisfied were you with the reservation process? 
(5 stars - very satisfied, 1 star - very dissatisfied) If you did walk-in, you may leave this question blank.",How long did you wait to be seated?,"How would you rate the quality of customer service? 
 (1 star - Very poor, 5 stars - Excellent)","How would you describe the restaurant’s ambience?   
( 1 heart - Very poor, 5 hearts - Excellent)",How satisfied were you with the cleanliness and hygiene of the restaurant?,"How would you rate the quality and freshness of the hotpot ingredients?
",Was there a good variety of soup bases and sauces?,"How would you rate the value for money?
(1 star = Very poor value, 5 stars = Excellent value)  ",Did you notice or use any loyalty programs?,"What aspects of the loyalty program did you find most appealing? (e.g., discounts, free items, points accumulation, etc. If unable to answer, please specify ""NA"").",How likely are you to return to this restaurant? ,What did you like most about this hotpot experience?,"Did you experience any issues during your visit? (Leave ""NA"" if no issues)",What improvements would you like to see in the restaurant that would make you return?,What three words would you use to describe this restaurant brand?  , How would you rate the brand's reputation compared to other hotpot restaurants?  ,"How likely are you to recommend this restaurant to others?
(1 star = Not at all likely, 5 stars = Extremely likely)","Do you feel the brand delivers on its promises? (e.g., quality, service, atmosphere)","In your opinion, what makes this restaurant unique? (Leave ""NA"" if you don't find it unique)"
2024/11/05 5:34:30 PM GMT+8,45 and above,Male,Every few months,Beauty in the Pot,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Recommendation / Word of mouth,Very easy,Walk-in (no reservation),,5 - 15 minutes,4,4,4,4,"Yes, but could be better",4,I'm not sure of the options available,NA,4,Soup base n quality of food.,NA,Special promotions,"Quality, Ambience and Friendly. ",Slightly better,4,Agree,Soup base
2024/11/05 5:34:39 PM GMT+8,45 and above,Male,Monthly,Xian De Lai,Returning customer,Walked By,Previous positive experience (staff service),Very easy,Phone,4,Less than 5 minutes,5,3,3,4,"Yes, plenty of options",4,"No, none available",NA,5,No time limit and good service ,NA,Food variety,"Friendly, willingness to offer additional requests ",About the same,5,Agree,Service
2024/11/05 5:37:57 PM GMT+8,45 and above,Female,Rarely,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Ambience;Quality of food;Recommendation / Word of mouth;Restaurant promotions or discounts;Previous positive experience (staff service),Very easy,Online through the restaurant's website,5,15 - 30 minutes,5,5,5,5,"Yes, plenty of options",5,"Yes, I used them",Discount .Returning voucher ,5,Food and the service ,Na,Price ,Can use short form like hdl.everyone know ,Much better,5,Strongly agree,The name and the service 
2024/11/05 5:40:18 PM GMT+8,45 and above,Male,Monthly,Beauty in the Pot,Returning customer,Walked By,Quality of food;Price,Somewhat easy,Walk-in (no reservation),4,More than 30 minutes,4,3,5,4,"Yes, plenty of options",3,I'm not sure of the options available,NA,3,ok,NA,Food variety;Cheaper ,ok lah,About the same,3,Agree,NA
2024/11/05 5:42:06 PM GMT+8,45 and above,Female,Rarely,HaiDiLao,Returning customer,Walked By,Previous positive experience (staff service),Very easy,Phone,5,5 - 15 minutes,5,5,5,5,"Yes, plenty of options",3,"Yes, I used them",Discount,3,Can chat during gathering.. they dun chase us,No,Ambience;Special promotions,Good services,About the same,4,Strongly agree,Na
2024/11/05 5:43:36 PM GMT+8,Under 18,Female,Every few months,Dragon hotpot,New customer,"Word of mouth (friends, family, colleagues etc.)",Recommendation / Word of mouth;hungry,Somewhat easy,Walk-in (no reservation),3,Less than 5 minutes,3,2,4,3,"Yes, but could be better",3,I'm not sure of the options available,NA,3,fast,NA,Ambience,"ok, not bad, cheap compared to other hotpot ",About the same,3,Neutral,NA
2024/11/05 5:43:56 PM GMT+8,45 and above,Female,Monthly,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Price;Recommendation / Word of mouth;Restaurant promotions or discounts,Very easy,Walk-in (no reservation),4,15 - 30 minutes,4,4,4,4,"Yes, but could be better",3,"Yes, I used them",Discounts ,5,Comfortable,NA,Special promotions,Quality good ambience,Slightly better,4,Agree,NA
2024/11/05 5:44:58 PM GMT+8,45 and above,Male,Monthly,Coco,Returning customer,Known this place,Quality of food,Very easy,Online through the restaurant's website,5,Less than 5 minutes,5,4,5,5,"No, limited options",5,"No, none available",Na,5,Freshness,Na,Special promotions,Not too bad,About the same,4,Neutral,Na
2024/11/05 5:46:04 PM GMT+8,18 - 24,Male,Monthly,Sukiya,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.);Walked By",Ambience;Convenient location;Quality of food;Price;Recommendation / Word of mouth;Restaurant promotions or discounts;Social media/online reviews;Previous positive experience (staff service),Very easy,Online through the restaurant's website,5,15 - 30 minutes,5,5,5,5,"Yes, plenty of options",5,"Yes, I used them",discounts,5,food,no,NA,good food always,Much better,5,Agree,na
2024/11/05 5:47:06 PM GMT+8,18 - 24,Female,Weekly,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Previous positive experience (staff service),Very easy,Third-party booking platform,5,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",4,"Yes, I used them",points accumulation,5,tomato soup,NA,Special promotions,good and amazing,Much better,5,Strongly agree,good service
2024/11/05 5:49:35 PM GMT+8,18 - 24,Male,Monthly,xiao long kan,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Price;Recommendation / Word of mouth,Somewhat easy,Walk-in (no reservation),,Less than 5 minutes,5,5,4,4,"Yes, plenty of options",3,I'm not sure of the options available,NA,5,good food and service ,na,Special promotions,good food lor,Slightly better,5,Strongly agree,the ambience and style of it
2024/11/05 5:50:26 PM GMT+8,45 and above,Male,Rarely,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Recommendation / Word of mouth,Very easy,Walk-in (no reservation),3,15 - 30 minutes,5,4,5,4,"Yes, plenty of options",3,"Yes, but didn't use them",NA,2,Cleanliness ,NA,Pricing to be lower ,"Expensive, cleanliness and presentation ",Much better,2,Agree,NA
2024/11/05 5:50:29 PM GMT+8,18 - 24,Male,Weekly,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Restaurant promotions or discounts,Very easy,Third-party booking platform,5,5 - 15 minutes,5,5,4,5,"Yes, plenty of options",5,"Yes, I used them",points and discounts ,5,staff are very friendly and helpful,na,Special promotions,"quality, appealing, lively",Much better,5,Agree,na
2024/11/05 5:51:48 PM GMT+8,18 - 24,Male,Every few months,Some hotpot in Hangzhou,New customer,Walked By,Ambience;Convenient location,Somewhat easy,Walk-in (no reservation),5,Less than 5 minutes,5,4,5,3,"Yes, but could be better",5,I'm not sure of the options available,NA,1,"For the qn before i put very unlikely because its at a random place in China and idk whether if i will ever pass by there again.
For this qn, the lady raised her voice at us because of the drunkard China uncles talking loudly but she was very patient and kind to us. The food was very good for the price, but if it was expensive i’ll kms. ","Not enough rice, so had to call for one more portion then we cannot finish that portion of rice = rice overload = mati",Its in China so I probably would not return there again in my life.,"I do not know much about the brand because it’s in China. But if I were to think of 3 words: Oily, Mouth-watering, Fire",Much worse,3,Neutral,NA
2024/11/05 5:56:33 PM GMT+8,18 - 24,Female,Every few months,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.);Flyers or printed ads;Walked By",Ambience;Quality of food;Recommendation / Word of mouth;Restaurant promotions or discounts;Previous positive experience (staff service),Very easy,Online through the restaurant's website,5,5 - 15 minutes,5,5,5,5,"Yes, plenty of options",3,"Yes, but didn't use them",discounts and members special items and deals,5,free birthday cake,na,price,prestigious mainstream friendly,Much better,5,Strongly agree,strong customer service
2024/11/05 5:57:52 PM GMT+8,18 - 24,Male,Every few months,Shabu Sai,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Quality of food;Price,Very easy,Walk-in (no reservation),,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",5,"Yes, but didn't use them",NA,5,Buffet style ,NA,Special promotions,Affordable good Cust service delicious,Slightly better,5,Agree,NA
2024/11/05 6:02:29 PM GMT+8,18 - 24,Male,Every few months,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.);Walked By",Ambience;Quality of food;Price;Recommendation / Word of mouth,Somewhat easy,Walk-in (no reservation),4,Less than 5 minutes,5,4,4,4,"Yes, but could be better",4,I'm not sure of the options available,Na,4,The hotpot,I never bring my girlfriend ,Ambience;Food variety;Special promotions,Not so bad,Slightly better,5,Agree,Can bring date
2024/11/05 6:08:54 PM GMT+8,45 and above,Female,Every few months,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Social media/online reviews;Previous positive experience (staff service),Somewhat easy,Online through the restaurant's website,4,More than 30 minutes,5,5,5,4,"Yes, plenty of options",3,"Yes, but didn't use them",NA,5,Very good customer service and the ambience,Usually is the waiting time ,Waiting time ,"Catchy, service oriented and convenience",Slightly better,5,Strongly disagree,Service oriented
2024/11/05 6:10:00 PM GMT+8,45 and above,Female,Rarely,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Quality of food;Previous positive experience (staff service),Very easy,Walk-in (no reservation),1,More than 30 minutes,3,4,1,4,"Yes, but could be better",1,I'm not sure of the options available,NA,1,Birthday celebration complimentary fruit tray and atmosphere ,Long waiting time ,NA,Excellent Marketing Strategy ,Much better,3,Agree,Market leader in their marketing 
2024/11/05 6:14:31 PM GMT+8,35 - 44,Male,Rarely,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Recommendation / Word of mouth,Somewhat easy,Walk-in (no reservation),3,Less than 5 minutes,4,3,4,4,"Yes, plenty of options",3,"No, none available",NA,3,Ambience,NA,NA,"Cosy, good service, good variety",Slightly better,3,Agree,NA
2024/11/05 6:18:22 PM GMT+8,45 and above,Male,Every few months,HaiDiLao,New customer,"Word of mouth (friends, family, colleagues etc.)",Quality of food;Recommendation / Word of mouth;Previous positive experience (staff service),Very easy,Phone,4,More than 30 minutes,4,4,4,5,"Yes, plenty of options",3,I'm not sure of the options available,Discounts,4,Food & soup quality,NA,Special promotions,"Pricy, service & long waiting time",About the same,2,Neutral,NA
2024/11/05 6:18:44 PM GMT+8,25 - 34,Female,Weekly,HaiDiLao,Returning customer,Social media;Flyers or printed ads,Restaurant promotions or discounts;Previous positive experience (staff service),Very easy,Online through the restaurant's website,5,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",5,"Yes, I used them",Points accumulation and redemption,5,Customer engagement,NA,Service quality;Cleanliness,"engaging, variety and fun",Much better,5,Strongly agree,Customer service
2024/11/05 6:24:58 PM GMT+8,18 - 24,Female,Weekly,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Recommendation / Word of mouth;Social media/online reviews;Previous positive experience (staff service),Very easy,Walk-in (no reservation),4,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",4,"Yes, I used them",Discounts for students ,5,Customer service,NA,Special promotions,"Clean, Sleek, Quality",Slightly better,5,Agree,Its customer service and consistent quality 
2024/11/05 6:38:29 PM GMT+8,45 and above,Male,Monthly,City HotPot,New customer,"Word of mouth (friends, family, colleagues etc.)",Recommendation / Word of mouth,Very easy,Phone,5,5 - 15 minutes,5,5,4,3,"Yes, but could be better",4,"No, none available",Nil,4,Variety ,Na,Cleanliness,"Good variety ,  ",About the same,3,Neutral,Na
2024/11/05 6:46:58 PM GMT+8,35 - 44,Female,Rarely,Beauty in the Pot,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Quality of food,Very easy,Walk-in (no reservation),,Less than 5 minutes,4,4,4,4,"Yes, plenty of options",3,I'm not sure of the options available,Na,4,Quality of food,No ,NA,Modern quality clean ,Slightly better,4,Neutral,Blue color 
2024/11/05 7:03:13 PM GMT+8,18 - 24,Female,Rarely,Shabu Sai,Returning customer,Walked By,Convenient location;Quality of food;Price;Restaurant promotions or discounts,Somewhat easy,Walk-in (no reservation),,Less than 5 minutes,4,4,5,4,"Yes, but could be better",5,I'm not sure of the options available,NA,5,"price, food",no issues but could be better if there was more staff,Ambience;Service quality;Special promotions,normal,About the same,4,Agree,NA
2024/11/05 7:18:07 PM GMT+8,45 and above,Male,Rarely,Auntie's place.,New customer,"Word of mouth (friends, family, colleagues etc.)",Ambience,Very easy,Phone,4,Less than 5 minutes,4,4,4,4,"No, limited options",4,"No, none available",I do not like loyalty program ,4,I can enjoy hotpot privately and peacefully without being disturbed by idiotic and inconsiderate dancing/singing by the service staffs over the next table.,NA,Service quality,Unique. Specual. Personal.,Much better,4,Agree,NA
2024/11/05 7:19:00 PM GMT+8,18 - 24,Female,Rarely,Xiabu ,New customer,Social media;Walked By,Price,Somewhat easy,Walk-in (no reservation),5,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",5,"Yes, I used them",Discounts ,3,Value for money ,the app took a really long time to work,App can be better,"Value for money, hidden gem, not bad",About the same,5,Strongly agree,NA
2024/11/05 7:38:30 PM GMT+8,18 - 24,Female,Rarely,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Price,Somewhat easy,Third-party booking platform,5,Less than 5 minutes,5,3,4,4,"Yes, but could be better",4,I'm not sure of the options available,NA,3,"Nothing much, just ate it in Malaysia since it was cheaper….",NA,Food variety,"Service, reputation, lively",Slightly better,3,Agree,Really good customer service 
2024/11/05 7:42:33 PM GMT+8,18 - 24,Female,Every few months,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.);Walked By",Ambience;Quality of food;Previous positive experience (staff service),Very easy,Third-party booking platform,5,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",2,"Yes, I used them","discounts, points accumulation",5,i liked the soup base,na,Food variety;Special promotions,"global, great service",Much better,5,Strongly agree,the quality of service they provide
2024/11/05 7:47:05 PM GMT+8,18 - 24,Female,Every few months,Shi Li Fang,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.);Flyers or printed ads;Walked By",Ambience;Quality of food;Price,Somewhat easy,Walk-in (no reservation),,Less than 5 minutes,5,4,5,5,"Yes, plenty of options",4,"Yes, I used them",item redemption ,5,yummy soup,na,Food variety;Service quality;Cleanliness,yummy yummy yummy ,Slightly better,5,Strongly agree,ice cream 
2024/11/05 8:00:17 PM GMT+8,18 - 24,Female,Rarely,Shabu Sai,Returning customer,"Word of mouth (friends, family, colleagues etc.);Walked By",Ambience;Convenient location;Quality of food;Price;Recommendation / Word of mouth,Somewhat easy,Walk-in (no reservation),5,15 - 30 minutes,4,5,4,5,"Yes, plenty of options",5,I'm not sure of the options available,NA,5,affordable and convenient location,NA,Food variety;Special promotions,"Affordable, reliable, convenient ",About the same,5,Strongly agree,NA
2024/11/05 8:04:20 PM GMT+8,18 - 24,Male,Rarely,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Recommendation / Word of mouth,Very easy,Walk-in (no reservation),4,More than 30 minutes,4,4,4,4,"Yes, plenty of options",3,I'm not sure of the options available,Na,4,Being able to cook ur own food,Na,Food variety,Accessible opens late,Much better,5,Agree,Na
2024/11/05 8:05:07 PM GMT+8,18 - 24,Female,Monthly,Shabu Sai,Returning customer,Walked By,Convenient location;Recommendation / Word of mouth,Somewhat easy,Walk-in (no reservation),,Less than 5 minutes,5,5,5,5,"Yes, but could be better",3,I'm not sure of the options available,NA,3,convenient location and large tables to accommodate more people,NA,Food variety;Special promotions,"typical, expensive and mediocre ",About the same,3,Agree,NA
2024/11/05 8:25:32 PM GMT+8,35 - 44,Female,Monthly,HaiDiLao,Returning customer,Social media,Ambience;Convenient location;Quality of food,Very easy,Online through the restaurant's website,4,5 - 15 minutes,4,4,4,4,"Yes, plenty of options",3,"Yes, I used them",Free items,5,Quality of Food,NA,Special promotions,Established,Slightly better,5,Agree,NA
2024/11/05 8:38:49 PM GMT+8,45 and above,Female,Rarely,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Convenient location;Quality of food;Restaurant promotions or discounts;Social media/online reviews,Very easy,Phone,5,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",5,I'm not sure of the options available,Na,5,Great food and service,Na,NA,Clean updated fresh,Much better,5,Strongly agree,Na
2024/11/05 9:29:59 PM GMT+8,18 - 24,Female,Monthly,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Recommendation / Word of mouth;Previous positive experience (staff service),Very easy,Walk-in (no reservation),,More than 30 minutes,5,5,5,4,"Yes, but could be better",4,"Yes, I used them",NA,4,The customer experience and food,NA,Ambience;Service quality;Special promotions,"Nice, refreshing, good ",Much better,4,Agree,"Their process, eg having snack and game, having services like manicure ect to pass time."
2024/11/05 9:35:59 PM GMT+8,18 - 24,Female,First time,HaiDiLao,New customer,"Word of mouth (friends, family, colleagues etc.);Walked By",Restaurant promotions or discounts,Very easy,Online through the restaurant's website,4,Less than 5 minutes,5,4,5,4,"Yes, plenty of options",3,I'm not sure of the options available,NA,4,"lots of freebies, dessert was great ",we were charged extra (apart from GST) and had no idea why,NA,"popular, fun, clean (reputation)",Slightly better,4,Strongly agree,customer service & new services (manicure etc)
2024/11/05 10:08:25 PM GMT+8,18 - 24,Female,Every few months,Shi Li Fang,Returning customer,Flyers or printed ads;Walked By,Quality of food;Price;Restaurant promotions or discounts,Very easy,Walk-in (no reservation),3,5 - 15 minutes,3,3,3,3,"No, limited options",5,"Yes, but didn't use them",Free items ,4,Affordable price,NA,Service quality;Special promotions,Affordable decent worthy,Slightly better,4,Neutral,NA
2024/11/05 10:08:56 PM GMT+8,18 - 24,Female,Rarely,Sukiya,Returning customer,"Word of mouth (friends, family, colleagues etc.);Walked By",Price,Somewhat easy,Third-party booking platform,5,5 - 15 minutes,4,4,4,4,"Yes, plenty of options",4,I'm not sure of the options available,NA,4,The price for the amount of food you get was good ,NA,Food variety;Special promotions,"Comforting, Good , satisfying ",About the same,4,Neutral,NA
2024/11/06 6:41:15 AM GMT+8,45 and above,Male,Rarely,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.);Flyers or printed ads",Ambience;Convenient location;Quality of food;Recommendation / Word of mouth,Very easy,Walk-in (no reservation),4,15 - 30 minutes,4,4,4,4,"Yes, plenty of options",3,"No, none available",Na,4,Staff service ,Na,Special promotions,Easy to remember ,Slightly better,4,Agree,Na
2024/11/06 8:26:34 AM GMT+8,18 - 24,Female,Every few months,HaiDiLao,Returning customer,Social media;Walked By,Ambience;Quality of food;Restaurant promotions or discounts,Very easy,Phone,5,More than 30 minutes,5,5,4,5,"Yes, plenty of options",4,"Yes, but didn't use them",Discounts,5,The customer service ,NA ,Ambience;Food variety;Service quality;Cleanliness;Special promotions,Customer quality first ,Much better,5,Strongly agree,The customer service is the thing that makes it unique 
2024/11/06 9:58:50 AM GMT+8,18 - 24,Female,Monthly,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Quality of food,Very easy,Phone,5,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",5,"Yes, I used them",points accumulation,5,customer service,NA,Special promotions,"good food, good variety, good service",Much better,5,Strongly agree,customer engagement
2024/11/06 1:26:53 PM GMT+8,45 and above,Female,Every few months,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Convenient location;Recommendation / Word of mouth,Very easy,Walk-in (no reservation),4,5 - 15 minutes,4,4,4,4,"Yes, plenty of options",3,I'm not sure of the options available,NA,4,Good service,NA,Special promotions,Very well known,Slightly better,4,Agree,NA
2024/11/06 2:03:30 PM GMT+8,35 - 44,Female,Every few months,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Convenient location;Quality of food;Restaurant promotions or discounts;Previous positive experience (staff service),Very easy,Phone,4,15 - 30 minutes,4,4,4,4,"Yes, plenty of options",3,"Yes, I used them",Discounts ,5,Customer service and soup quality. Would like to see more vegetarian options in the menu.,NA,"Food variety;Special promotions;More vegetarian options eg dumplings, plant based meat etc","Friendly, creative",Much better,4,Agree,The marketing ideas 
2024/11/06 2:08:46 PM GMT+8,45 and above,Male,Every few months,Beauty in the Pot,Returning customer,"Word of mouth (friends, family, colleagues etc.);Walked By",Ambience;Quality of food,Very easy,Phone,4,Less than 5 minutes,4,4,4,4,"Yes, plenty of options",4,"Yes, I used them",NiA,2,taste,na,Ambience,HDL ,Much better,5,Strongly agree,service 
2024/11/06 2:29:31 PM GMT+8,45 and above,Male,Monthly,HaiDiLao,Returning customer,"Social media;Word of mouth (friends, family, colleagues etc.);Flyers or printed ads;Walked By",Ambience;Quality of food;Price;Restaurant promotions or discounts,Very easy,Walk-in (no reservation),,Less than 5 minutes,5,5,5,5,"Yes, plenty of options",5,"Yes, I used them",Points to offset spending ,5,Very good staffs ,Na,NA,Quality n service,Much better,5,Strongly agree,NA
2024/11/06 2:44:21 PM GMT+8,45 and above,Male,Rarely,HaiDiLao,Returning customer,Invitation by Friend ,Previous positive experience (staff service),Somewhat easy,Walk-in (no reservation),,Less than 5 minutes,3,3,4,3,"Yes, plenty of options",3,I'm not sure of the options available,NA,3,Free flow of drink and dessert ,NA,Food variety,NA,About the same,3,Neutral,NA
2024/11/06 9:21:09 PM GMT+8,45 and above,Female,Monthly,HaiDiLao,Returning customer,"Word of mouth (friends, family, colleagues etc.)",Ambience;Quality of food,Very easy,Online through the restaurant's website,5,5 - 15 minutes,5,5,5,5,"Yes, plenty of options",5,"Yes, I used them",points accumulation,5,great service,NA,Special promotions,"good service, variety and great entertainment",Much better,5,Strongly agree,customer service
